"Customer ID","Customer Name","Recent Order","Number of orders placed by customer",Monetary,Segment
AS-10045,"Aaron Smayling",2017-10-03,9,3035.032,"Average Customer"
CS-11950,"Carlos Soltero",2017-12-05,21,3027.755,"Average Customer"
EH-14125,"Eugene Hildebrand",2017-07-31,17,3013.153,"Average Customer"
LS-16975,"Lindsay Shagiari",2017-12-10,22,2988.674,"Average Customer"
MH-18025,"Michelle Huthwaite",2017-11-11,10,2984.948,"Average Customer"
FA-14230,"Frank Atkinson",2017-09-24,17,2984.054,"Average Customer"
NS-18640,"Noel Staavos",2017-07-09,26,2964.823,"Average Customer"
TM-21010,"Tamara Manning",2017-09-18,18,2953.986,"Average Customer"
TH-21115,"Thea Hudgings",2017-11-02,9,2942.772,"Average Customer"
CK-12325,"Christine Kargatis",2017-09-01,11,2939.606,"Average Customer"
LT-17110,"Liz Thompson",2017-11-26,14,2936.252,"Average Customer"
BC-11125,"Becky Castell",2017-06-11,18,2933.676,"Average Customer"
JK-16120,"Julie Kriz",2017-09-04,17,2932.484,"Average Customer"
DB-13120,"David Bremer",2017-11-12,13,2931.718,"Average Customer"
SW-20455,"Shaun Weien",2017-07-21,9,2921.544,"Average Customer"
ML-17410,"Maris LaWare",2017-11-06,15,2921.5,"Average Customer"
RD-19585,"Rob Dowd",2017-07-03,19,2912.894,"Average Customer"
CY-12745,"Craig Yedwab",2017-10-31,11,2900.026,"Average Customer"
ND-18460,"Neil Ducich",2017-06-30,8,2893.455,"Average Customer"
MG-18145,"Mike Gockenbach",2017-10-07,6,2890.591,"Average Customer"
MT-17815,"Meg Tillman",2017-11-11,10,2890.139,"Average Customer"
DS-13180,"David Smith",2017-12-07,20,2881.8128,"Average Customer"
PV-18985,"Paul Van Hugh",2017-10-02,13,2876.046,"Average Customer"
CC-12430,"Chuck Clark",2017-12-30,19,2870.05,"Average Customer"
BF-11020,"Barry Französisch",2017-10-17,20,2865.786,"Average Customer"
CC-12685,"Craig Carroll",2015-10-23,12,2854.115,"Average Customer"
AW-10930,"Arthur Wiediger",2017-11-14,15,2851.444,"Average Customer"
IM-15055,"Ionia McGrath",2016-11-16,3,2848.36,"Average Customer"
LS-16945,"Linda Southworth",2017-07-05,14,2845.27,"Average Customer"
DB-12970,"Darren Budd",2017-05-03,14,2839.2272,"Average Customer"
JM-16195,"Justin MacKendrick",2017-11-03,19,2833.926,"Average Customer"
CV-12295,"Christina VanderZanden",2017-04-20,13,2830.628,"Average Customer"
GH-14410,"Gary Hansen",2017-10-16,16,2807.707,"Average Customer"
TS-21610,"Troy Staebel",2017-11-05,10,2801.884,"Average Customer"
BG-11035,"Barry Gonzalez",2017-12-02,12,2798.948,"Average Customer"
TB-21625,"Trudy Brown",2017-11-30,15,2797.668,"Average Customer"
RD-19660,"Robert Dilbeck",2017-09-07,5,2786.632,"Average Customer"
SH-19975,"Sally Hughsby",2017-12-01,27,2774.2395,"Average Customer"
JC-15775,"John Castell",2017-07-25,16,2772.055,"Average Customer"
PF-19165,"Philip Fox",2017-06-17,10,2770,"Average Customer"
EB-13870,"Emily Burns",2017-09-21,11,2767.219,"Average Customer"
MM-18055,"Michelle Moray",2017-10-30,19,2749.881,"Average Customer"
KB-16585,"Ken Black",2017-05-14,22,2742.758,"Average Customer"
LL-16840,"Lauren Leatherbury",2017-04-25,12,2741.204,"Average Customer"
JL-15850,"John Lucas",2016-04-25,11,2725.256,"Average Customer"
MC-17275,"Marc Crier",2017-10-15,12,2723.036,"Average Customer"
ML-17395,"Marina Lichtenstein",2017-10-22,20,2722.843,"Average Customer"
JK-15370,"Jay Kimmel",2017-11-16,17,2709.632,"Average Customer"
JE-16165,"Justin Ellison",2017-12-10,7,2697.248,"Average Customer"
CS-12250,"Chris Selesnick",2017-11-23,26,2696.796,"Average Customer"
BT-11530,"Bradley Talbott",2017-09-30,10,2684.492,"Average Customer"
NH-18610,"Nicole Hansen",2017-06-24,11,2673.29,"Average Customer"
RB-19435,"Richard Bierner",2017-12-11,16,2663.086,"Average Customer"
EA-14035,"Erin Ashbrook",2017-07-31,24,2660.825,"Average Customer"
EJ-14155,"Eva Jacobs",2017-11-03,8,2656.691,"Average Customer"
DK-13090,"Dave Kipp",2017-11-18,13,2650.557,"Average Customer"
CA-12265,"Christina Anderson",2017-11-04,17,2648.2872,"Average Customer"
FO-14305,"Frank Olsen",2017-11-22,14,2622.838,"Average Customer"
KN-16390,"Katherine Nockton",2017-12-11,17,2617.272,"Average Customer"
RA-19285,"Ralph Arnett",2017-12-25,16,2606.082,"Average Customer"
LC-17140,"Logan Currie",2017-12-17,17,2605.112,"Average Customer"
SO-20335,"Sean O'Donnell",2017-12-01,15,2602.5755,"Average Customer"
SU-20665,"Stephanie Ulpright",2017-12-10,18,2595.364,"Average Customer"
BO-11350,"Bill Overfelt",2017-08-15,10,2586.08,"Average Customer"
HA-14920,"Helen Andreada",2017-12-10,18,2584.158,"Average Customer"
SC-20695,"Steve Chapman",2017-10-02,14,2576.408,"Average Customer"
NS-18505,"Neola Schneider",2017-12-24,15,2575.863,"Average Customer"
BT-11305,"Beth Thompson",2017-01-28,9,2567.656,"Average Customer"
EM-13810,"Eleni McCrary",2017-08-20,7,2567.01,"Average Customer"
AG-10270,"Alejandro Grove",2017-03-27,13,2565.258,"Average Customer"
MZ-17515,"Mary Zewe",2017-03-23,10,2564.906,"Average Customer"
CC-12610,"Corey Catlett",2017-11-26,12,2540.631,"Average Customer"
CM-12160,"Charles McCrossin",2017-12-04,7,2533.314,"Average Customer"
HF-14995,"Herbert Flentye",2017-12-09,19,2533.164,"Average Customer"
LC-16870,"Lena Cacioppo",2017-12-03,28,2526.182,"Average Customer"
FM-14380,"Fred McMath",2017-08-07,14,2523.266,"Average Customer"
JS-16030,"Joy Smith",2017-12-02,18,2516.494,"Average Customer"
DJ-13510,"Don Jones",2017-11-12,13,2501.688,"Average Customer"
AC-10615,"Ann Chong",2017-09-02,17,2499.756,"Average Customer"
PO-18865,"Patrick O'Donnell",2017-12-30,13,2493.214,"Average Customer"
BS-11755,"Bruce Stewart",2017-12-29,12,2492.35,"Average Customer"
NZ-18565,"Nick Zandusky",2017-10-06,20,2488.31,"Average Customer"
CC-12145,"Charles Crestani",2017-09-15,11,2471.65,"Average Customer"
MN-17935,"Michael Nguyen",2017-11-26,9,2469.042,"Average Customer"
NC-18340,"Nat Carroll",2017-05-20,17,2461.404,"Average Customer"
MH-17455,"Mark Hamilton",2017-10-06,11,2456.182,"Average Customer"
BS-11590,"Brendan Sweed",2017-11-25,10,2454.928,"Average Customer"
VM-21685,"Valerie Mitchum",2017-11-06,12,2454.866,"Average Customer"
GZ-14545,"George Zrebassa",2017-07-26,5,2454.622,"Average Customer"
MA-17995,"Michelle Arnett",2017-06-27,12,2453.284,"Average Customer"
TH-21100,"Thea Hendricks",2017-01-20,7,2422.824,"Average Customer"
AH-10465,"Amy Hunt",2017-05-14,7,2406.4316,"Average Customer"
BP-11095,"Bart Pistole",2017-12-13,18,2399.54,"Average Customer"
